,name,rating,reviews,company-type,HQ,age,employees
0,TCS,3.9,(37.3k Reviews),Public,"Mumbai,Maharashtra + 232 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(25.2k Reviews),Public,"Dublin,Dublin + 127 more",33 years old,1 Lakh+ Employees (India)
2,Cognizant,3.9,(23.1k Reviews),Private,"Teaneck,New Jersey + 86 more",28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(30k Reviews),Public,"Mumbai,Maharashtra + 964 more",28 years old,50k-1 Lakh Employees (India)
4,Wipro,3.9,(21.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 246 more",77 years old,1 Lakh+ Employees (India)
5,HDFC Bank,4.0,(30.9k Reviews),Public,"Mumbai,Maharashtra + 1057 more",28 years old,1 Lakh+ Employees (India)
6,Capgemini,3.9,(18.5k Reviews),Public,Paris + 67 more,55 years old,1 Lakh+ Employees (India)
7,HCL Technologies,3.8,(18.3k Reviews),Public,"Noida,Uttar Pradesh + 153 more",46 years old,1 Lakh+ Employees (India)
8,Infosys,4.0,(22.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 115 more",41 years old,1 Lakh+ Employees (India)
9,Tech Mahindra,3.7,(17.2k Reviews),Public,"Pune,Maharashtra + 175 more",36 years old,50k-1 Lakh Employees (India)
10,Genpact,4.0,(17k Reviews),Private,"New York,New York + 54 more",25 years old,50k-1 Lakh Employees (India)
11,Axis Bank,3.9,(15.8k Reviews),Public,"Mumbai,Maharashtra + 949 more",29 years old,50k-1 Lakh Employees (India)
12,Reliance jio,4.0,(12.7k Reviews),Public,"Navi Mumbai,Maharashtra + 873 more",15 years old,10k-50k Employees (India)
13,IBM,4.1,(12.8k Reviews),Public,"Armonk,New York + 105 more",111 years old,1 Lakh+ Employees (India)
14,Larsen & Toubro ...,4.0,(16.1k Reviews),Public,"Mumbai,Maharashtra + 469 more",84 years old,10k-50k Employees (India)
15,Vodafone Idea,4.2,(12.3k Reviews),Public,"Gandhinagar,Gujrat + 533 more",4 years old,10k-50k Employees (India)
16,Concentrix Corpo...,4.1,(12.2k Reviews),Public,"Fremont,California + 56 more",39 years old,10k-50k Employees (India)
17,Amazon,4.2,(12.1k Reviews),Private,"Seattle,Washington + 311 more",28 years old,1 Lakh+ Employees (India)
18,HDB Financial Se...,4.0,(11k Reviews),Private,"Ahmedabad,Gujrat + 673 more",15 years old,1 Lakh+ Employees (India)
19,Kotak Mahindra B...,3.9,(11.4k Reviews),Public,"Mumbai,Maharashtra + 441 more",19 years old,10k-50k Employees (India)
20,Teleperformance,3.6,(8.5k Reviews),Private,Paris + 108 more,44 years old,50k-1 Lakh Employees (India)
21,Bharti Airtel,4.1,(11k Reviews),Public,"Gurgaon/Gurugram,Haryana + 448 more",27 years old,5k-10k Employees (India)
22,Tata Motors,4.1,(7.9k Reviews),Public,"Pune,Maharashtra + 366 more",77 years old,50k-1 Lakh Employees (India)
23,Reliance Industr...,4.0,(33.8k Reviews),Public,"Navi Mumbai,Maharashtra + 384 more",49 years old,1 Lakh+ Employees (India)
24,Deloitte,4.0,(7.4k Reviews),Private,"New York,New York + 128 more",177 years old,10k-50k Employees (India)
25,Reliance Retail,4.1,(11.1k Reviews),Private,"Navi Mumbai,Maharashtra + 466 more",16 years old,1 Lakh+ Employees (India)
26,Mahindra & Mahin...,4.1,(17.7k Reviews),Public,"Mumbai,Maharashtra + 372 more",77 years old,10k-50k Employees (India)
27,IndusInd Bank,3.8,(5.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 511 more",28 years old,10k-50k Employees (India)
28,WNS,3.7,(5.6k Reviews),Private,"Mumbai,Maharashtra + 20 more",26 years old,10k-50k Employees (India)
29,Hinduja Global S...,3.9,(5.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 71 more",22 years old,10k-50k Employees (India)
0,DXC Technology,3.8,(5.6k Reviews),Public,"Minato,Tokyo + 49 more",31 years old,10k-50k Employees (India)
1,Maruti Suzuki,4.1,(5k Reviews),Public,"New Delhi,Delhi + 351 more",39 years old,10k-50k Employees (India)
2,Flipkart,4.2,(8.9k Reviews),Private,"Bangalore,Karnataka + 362 more",15 years old,10k-50k Employees (India)
3,Samsung,4.0,(7.2k Reviews),Private,"Suwon-Si,Gyeonggi-Do + 400 more",84 years old,50k-1 Lakh Employees (India)
4,Infosys BPM,4.0,(4.7k Reviews),4.0,4.0,4.0,4.0
5,Ernst & Young,3.8,(4.7k Reviews),Private,London + 64 more,20 years old,50k-1 Lakh Employees (India)
6,HSBC,4.1,(4.9k Reviews),Private,"Pune,Maharashtra + 52 more",20 years old,10k-50k Employees (India)
7,Ericsson,4.2,(4.6k Reviews),Private,"Stockholm,Stockholm County + 124 more",146 years old,10k-50k Employees (India)
8,Bajaj Finserv,4.1,(11.5k Reviews),Public,"Pune,Maharashtra + 578 more",15 years old,10k-50k Employees (India)
9,Conneqt Business...,3.8,(4.2k Reviews),3.8,3.8,3.8,3.8
10,Startek,3.5,(4.2k Reviews),3.5,3.5,3.5,3.5
11,Dr. Reddy's,4.2,(4.3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 121 more",36 years old,10k-50k Employees (India)
12,Jana Small Finan...,3.9,(4.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 290 more",16 years old,10k-50k Employees (India)
13,Cipla Pharmaceut...,4.1,(4.1k Reviews),Public,"Mumbai,Maharashtra + 178 more",87 years old,10k-50k Employees (India)
14,Sutherland Globa...,3.8,(4.4k Reviews),Private,"Pittsford,New York + 38 more",36 years old,10k-50k Employees (India)
15,IDFC FIRST Bank,4.0,(4k Reviews),Public,"Mumbai,Maharashtra + 311 more",4 years old,10k-50k Employees (India)
16,Mphasis,3.8,(4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 39 more",22 years old,1k-5k Employees (India)
17,ICICI Prudential...,4.1,(4k Reviews),Public,"Mumbai,Maharashtra + 385 more",22 years old,10k-50k Employees (India)
18,BYJU'S,3.7,(7.7k Reviews),Private,"Bangalore,Karnataka + 132 more",11 years old,1k-5k Employees (India)
19,Bajaj Allianz Li...,4.2,(3.8k Reviews),Private,Pune + 406 more,21 years old,10k-50k Employees (India)
20,Indian Army,4.7,(3.8k Reviews),4.7,4.7,4.7,4.7
